본부코드,본부명,지사코드,지사명,노선코드,노선명,방향,휴게소명,이정,면적1,면적2,면적3,면적4,광장포장형태1,광장포장형태2,광장포장형태3,광장포장형태4,두께1,두께2,두께3,두께4,비고
N01797,대전충남본부,N00321,천안지사,0010,경부선,부산,망향(하),343.600,,14111.000,,,,100,,,,20.000,,,한일개발
N01797,대전충남본부,N00321,천안지사,0010,경부선,서울,천안(상),335.700,,9951.000,,,,100,,,,20.000,,,삼성
N01797,대전충남본부,N00321,천안지사,0010,경부선,부산,천안(하),324.200,4500.000,,,,300,,,,28.000,,,,ILP 고려개발
N01797,대전충남본부,N00321,천안지사,0010,경부선,부산,옥산(하),308.500,,31581.000,,,,100,,,,20.000,,,블+아+콘
N00309,충청지역본부,N00326,대전지사,0010,경부선,서울,죽암(상),288.900,,10500.000,,,,100,,,,30.000,,,
N00309,충청지역본부,N00326,대전지사,0010,경부선,부산,죽암(하),287.800,,19500.000,,,,100,,,,30.000,,,
N00309,충청지역본부,N00344,영동지사,0010,경부선,부산,금강,249.230,,13987.000,,,,100,,,,15.000,,,
N01800,대구경북본부,N00441,구미지사,0010,경부선,부산,추풍령(상),212.320,,18000.000,,,,100,,,,8.000,,,
N01800,대구경북본부,N00441,구미지사,0010,경부선,부산,추풍령(하),212.320,27000.000,,,,300,,,,30.000,,,,
N01800,대구경북본부,N00441,구미지사,0010,경부선,부산,칠곡(상),156.320,24000.000,,,,300,,,,30.000,,,,
N01800,대구경북본부,N00441,구미지사,0010,경부선,서울,칠곡(하),156.320,23000.000,,,,300,,,,30.000,,,,
N01800,대구경북본부,N00447,대구지사,0010,경부선,서울,경산,110.950,,16061.000,,,,100,,,,30.000,,,
N01800,대구경북본부,N00447,대구지사,0010,경부선,부산,평사,105.630,,16602.000,,,,100,,,,30.000,,,
N01800,대구경북본부,N00447,대구지사,0010,경부선,서울,건천,76.000,,5000.000,,,,100,,,,28.000,,,
N01800,대구경북본부,N00447,대구지사,0010,경부선,부산,건천,76.000,,5000.000,,,,100,,,,28.000,,,
N01801,부산경남본부,N00490,울산지사,0010,경부선,부산,언양(상),42.320,,25256.000,,,,100,,,,30.000,,,
N01801,부산경남본부,N00490,울산지사,0010,경부선,서울,언양(하),43.300,,26044.000,,,,100,,,,30.000,,,
N00309,충청지역본부,N00344,영동지사,0010,경부선,서울,옥천(상),255.230,15060.000,,,,300,,,,8.000,,,,ILP포장
N00309,충청지역본부,N00344,영동지사,0010,경부선,서울,황간(상),228.730,8775.000,,,,300,,,,8.000,,,,ILP포장
N00309,충청지역본부,N00344,영동지사,0010,경부선,부산,황간(하),228.730,10556.000,,,,300,,,,8.000,,,,ILP블럭
N00309,충청지역본부,N00326,대전지사,0010,경부선,서울,신탄진(상)화물차휴게소,280.600,,32000.000,,,,100,,,,30.000,,,
